candidate,target,dataset_source,category,clean_caption,partition
B00DNK6SN2,B002XNYSM8,FashionIQ,toptee,is less feminine and black and has a graphic on it,train
B00D17AFY0,B008FY9HT8,FashionIQ,toptee,is sleevless and more casual and has no sleeves,train
B007VF87O8,B00CSDR4EW,FashionIQ,toptee,the shirt is orange with a gray design and is orange and has buttons,train
B008VQ6R7A,B008YCD6CA,FashionIQ,toptee,is gold with longer sleeves and pink more silky looking no v neck,train
B008D567PG,B00851GY9W,FashionIQ,toptee,has a racerback tank top and is a tank top and pink floyd logo,train
B009SDADXY,B0018CFD3I,FashionIQ,toptee,is blouse and black sexy bikini tie and is black and is more revealing,train
B00DY81FLS,B00BQJSP6U,FashionIQ,toptee,has a shorter sleeve shirt with different stripes and has stripes and is lighter,train
B00C27HC6E,B008ILTGO4,FashionIQ,toptee,has a dog picture in the back and has lighter text and darker shirt,train
B00E3SMD9Q,B009A6XGGA,FashionIQ,toptee,is pink with black designs and is a darker color,train
B006MGRJA0,B00AAFQO5K,FashionIQ,toptee,has three black stripes at the bottom and doesn t have a print,train
B007BWDDCM,B0083LXTFG,FashionIQ,toptee,is black with animated characters and is a black tee,train
B00B36H012,B00GV5HNV2,FashionIQ,toptee,has longer sleaves and more color and is more grungy,train
B0002NZCEO,B003U0MCIA,FashionIQ,toptee,is black and no collar and is darker and masculine,train
B005I730JS,B00BCXH07A,FashionIQ,toptee,has no sleeves with a beige color and is grey and has off shoulder,train
B001UIM45K,B004T8TIIO,FashionIQ,toptee,the shirt has a abstract print and a shirt,train
B00EKW3DIA,B006R6SEAY,FashionIQ,toptee,is more wordy and purple and has text on it,train
B00DV47IG6,B00E98B7DS,FashionIQ,toptee,the shirt is purple with butterflies and is dark purple short sleeved,train
B005RYIMQI,B005RYIS6W,FashionIQ,toptee,is off one shoulder and has an oriental print and is belted,train
B00C8ZJZI8,B00EWJU2HG,FashionIQ,toptee,is black with purple designs and is black with shorter sleeves,train
B008D6PCGU,B00DV0PJG6,FashionIQ,toptee,is green t shirt with lettering and is green short sleeve,train
B008KFF9HG,B00860WQE4,FashionIQ,toptee,is white with shorter sleeves and buttons and is solid white,train
B006L1F72I,B008R8KO3K,FashionIQ,toptee,has a shorter sleeve with art and a sleeveless white tanktop with a black pattern,train
B008OPICE4,B008H3TUS0,FashionIQ,toptee,is blue and around wide neck and is a blue shirt with open neck,train
B009ESDWCM,B007J7J4V8,FashionIQ,toptee,is grey and it is grey,train
B00CHR0ODC,B00BHHRY54,FashionIQ,toptee,is black color with no sleeves and is black colored,train
B000HQC7ZS,B000OBRMJM,FashionIQ,toptee,is brighter and more sporty and is darker in color,train
B0077BABKY,B008NF7RZA,FashionIQ,toptee,is blue with floral designs and is more teal and floral,train
B00BGD1WKC,B003ID323I,FashionIQ,toptee,is lighter and has shorter sleeves and is grey and less revealing,train
B00BQTQBVG,B00BEDITY6,FashionIQ,toptee,is longer and brighter in color and is blue with tank sleeves and round nect,train
B008MNN1HQ,B00B0QGSA4,FashionIQ,toptee,has lace applique and no buttons and is black,train
B008ASBY4U,B004WYY78Q,FashionIQ,toptee,has cropped sleeves and is peach colored and blue button down shirt with short sleeves,train
B00C8C59O0,B008BHJOB0,FashionIQ,toptee,is not as plain and has frilly short sleeves and it is grey and less plain,train
B0086UZZ88,B0072BCV20,FashionIQ,toptee,is a long sleeved yellow with pink flowers and a bright yellow with red flowers 3 4 sleeve blouse,train
B00C7CF7ES,B00C125Z7S,FashionIQ,toptee,the tied shirt is has a black zig zag pattern and has longer sleeves with a different pattern,train
B00EEKM51O,B00EEKLSVC,FashionIQ,toptee,is darker and is black with a gold glitter,train
B0080ETSII,B0083R57OG,FashionIQ,toptee,is white with a different graphic and is white colored,train
B009ZR8RPE,B004RIMZM2,FashionIQ,toptee,has a short sleeve with art in the middle and white notical logo,train
B00DRM4ULI,B00CJHLVCI,FashionIQ,toptee,is coral with ruffles and is orange,train
B0002NZ8DO,B000JWHZWU,FashionIQ,toptee,is lighter in color and has more buttons and is lighter in color,train
B007RMNIP8,B006ZIO3R2,FashionIQ,toptee,the shirt is a shirt dress and is white in color and black skull design shorter sleevs,train
B008D36WCQ,B005R51GBA,FashionIQ,toptee,is lighter and is a frilled button up in solid color,train
B00ARQVPZ6,B006LWGZGO,FashionIQ,toptee,has longer sleeves and is more edgy and has a whispier pattern,train
B00BC02VHW,B00EE0BA3I,FashionIQ,toptee,has a longer shirt with square patterns and it is darker and has pockets,train
B007PJW0IE,B00362ZS88,FashionIQ,toptee,is black colored and lighter cinched at the waist,train
B00AZOS29C,B000K2H2W2,FashionIQ,toptee,black with lace and is black with cap sleeves and lace,train
B00ANBC2IY,B006YYNYM2,FashionIQ,toptee,is more patriotic and is white with flag image,train
B006K1LS04,B006N051V4,FashionIQ,toptee,the tank dress is shiny blue with black stripes and is sleeveless shiny blue color fabric,train
B0088YNZJ8,B0054ZMOZU,FashionIQ,toptee,is a t shirt and is yellow and is a yellow tee,train
B00D0JESV0,B00D0JOB2Q,FashionIQ,toptee,the right is much darker in color and is yellow,train
B00BCW5NHU,B00DBXMJ7A,FashionIQ,toptee,has cheetah spots and has leopard print,train
B009N84NNA,B00AO9L56U,FashionIQ,toptee,and short sleeved with a pocket and is a gray tunic,train
B003VIWJFW,B008SAMGTC,FashionIQ,toptee,is more firly and less shirty and more feminine,train
B00BY9PXRG,B00BY9PPHY,FashionIQ,toptee,the shirt is purple with white writing and is purple colored with a white colored graphic,train
B000PET95S,B000NCGGFS,FashionIQ,toptee,the tank top is blue and is colorful and sleeveless,train
B004E59ZE4,B005CEQKX0,FashionIQ,toptee,is white with middle fingers up in logo and a black shirt with letters on front,train
B0097YF8XO,B00CIPIDMW,FashionIQ,toptee,is darker and is white with shorter sleeves and red graphics on front,train
B007E94C3Q,B007E94ZEW,FashionIQ,toptee,is lighter and has longer sleeves and is white with sleeves,train
B004P2OKS2,B0085TUS9G,FashionIQ,toptee,grey shirt with a picture in the middle and yellow green design,train
B008FJZF44,B005QWQKOM,FashionIQ,toptee,is black colored with a logo in purple and is darker and more fitted,train
B00B1H5ISA,B00A9ZV1UY,FashionIQ,toptee,is striped and tight fitting and tan and cream stripped shirt with gold collar,train
B00DU6OUES,B00EDSHSP0,FashionIQ,toptee,the shirt is black in color with blue and white writing and is a t shirt not underwear,train
B00CTKZN4C,B009UPD0QM,FashionIQ,toptee,the shirt has short sleeves black in color with green writing and is black with sleeves,train
B004B544XY,B006JWPY7W,FashionIQ,toptee,is pink with thin straps and is pink and has longer sleeves,train
B0097B8XOS,B001UIM45K,FashionIQ,toptee,is white colored and shorter sleeves and is white in color and has shorter sleeves,train
B008SB92G6,B0014C3DDY,FashionIQ,toptee,the shirt is blue tie dye with a green and is blue with earth like logo,train
B0066EDY6Q,B00BY8MMBM,FashionIQ,toptee,is white with parental advisory sign and is white and has male gender,train
B0080I2T5I,B007ZN3YKI,FashionIQ,toptee,has longer sleeves with red and black prints and has a more open design with lighter colors,train
B005ZWXPWS,B0064ZTCTU,FashionIQ,toptee,the tank top is gray in color and has straps and is grey,train
B008PEM80S,B0051VMI3K,FashionIQ,toptee,is yellow with round neck and tank non fitted shirt with small graphic,train
B004ZXH28G,B0049B3PMQ,FashionIQ,toptee,short sleeved and more casual and is pink with shorter sleeves,train
B007WACX3I,B008X042MQ,FashionIQ,toptee,the shirt has white and black stripes and is a black and white sexy stripped shirt,train
B00D38INXW,B008LV6MKM,FashionIQ,toptee,the shirt is black with white writing and is a black metal t shirt,train
B0078YCJP0,B0054IOGH6,FashionIQ,toptee,the short sleeve short is pink in color with a woman s image and is a pink tshirt,train
B0097XFSQW,B00CHILECG,FashionIQ,toptee,has a lighter color and a different print and is white with black text,train
B002PZHDTY,B003G5M8KG,FashionIQ,toptee,is more like a sweater with long sleeves and is brown with longer sleeves,train
B004MW3RSY,B00B9FEPKQ,FashionIQ,toptee,its a shorter white shirt and has shorter sleeves and is lacy,train
B00BYE86T8,B00C4J7KIA,FashionIQ,toptee,has a pink logo and is more feminine,train
B00CB7284Q,B00AI85U90,FashionIQ,toptee,it is a brighter color and has stripes and has gray and orange stripes,train
B00AFJWW6Q,B008M4UNJO,FashionIQ,toptee,is less plain and more fitted and has stripes,train
B006BBFXAO,B00E1ONORM,FashionIQ,toptee,is purple and is purple with white trime,train
B00BSS2GKK,B006ZVFSIW,FashionIQ,toptee,the shirt has not sleeves and is white and is white with shorter sleeves,train
B0009U7NPG,B003BT4HGK,FashionIQ,toptee,its white with diagonal cut and is whiter with an angled bottom hem,train
B0091IWZYQ,B0091IWU1Y,FashionIQ,toptee,is silk and is a bright blue and is more shiny and darker blue,train
B008OGWI7K,B00DEWVLGS,FashionIQ,toptee,darker color with embellishments and is gray,train
B005GTEII0,B004H7T0VW,FashionIQ,toptee,its pink and a tanl top and is a brighter color,train
B00D5XYCL2,B007PTTOVU,FashionIQ,toptee,is layered and more feminine and is solid black,train
B0088RFFNO,B0088RFDYK,FashionIQ,toptee,the tank top is melon in color and is orange and has thin straps,train
B00DDY1OC8,B0055PFI4S,FashionIQ,toptee,is a revealing white top and shamrock tie,train
B00C6BNIU0,B002OLC97K,FashionIQ,toptee,black with a design on it and is more graphic and has less fontks,train
B0051GMDRQ,B00GHQTG2Y,FashionIQ,toptee,is navy blue with sleeves and has sleeves and is more wordy,train
B00C4YVEKK,B00CJI522C,FashionIQ,toptee,has no sleeve and a bunch of colors and is more colorful,train
B008JGKMZK,B008S2RQ0Y,FashionIQ,toptee,has long sleeves but darker and has longer sleeves and is a darker color,train
B0082XNFVI,B0092OT8U8,FashionIQ,toptee,has a triangle and has black triangle logos,train
B00A8YALSY,B00A9GE1G4,FashionIQ,toptee,has longer tie and more rows of rufffles and is a bit more shiny,train
B009AFL3W0,B00CU8D3MC,FashionIQ,toptee,has feathered graphic and is two dimensional and is dark blue with purple logo,train
B009GLCMDM,B0078VA144,FashionIQ,toptee,is dark brown colored and has image of an eagle and has a bigger graphic,train
B0085SJ492,B004QQ5NYW,FashionIQ,toptee,no sleeves or design and is sleeveless,train
B00AHLZADO,B007Y7NUUO,FashionIQ,toptee,is purple in color and has longer sleeves,train
B005NY6N4K,B005NY5ZZ8,FashionIQ,toptee,is silk material with buttons going down and is button up and solid with print trim,train
B006C8A8AG,B00DSHBQUU,FashionIQ,toptee,is black with a green graphic and is black with a different graphic,train
B00EOWOCW2,B005F8E8PK,FashionIQ,toptee,the shirt is black and blue with white writing and s a black tshirt,train
B00DY81FLS,B00BQN1G4O,FashionIQ,toptee,has shorter sleeves and striped patterns and is short sleeved and orange with stripes,train
B0041PFUSM,B00C64KW42,FashionIQ,toptee,is purple checkered with ombre and has more colors in it,train
B00BBKOBOY,B00DVNQZI4,FashionIQ,toptee,has no sleeves and has yellow color and is a yellow shirt that looks similar,train
B0064U8IH2,B0055FLM0W,FashionIQ,toptee,is black colored and is black in color,train
B0014JXGDO,B0073IVCR2,FashionIQ,toptee,is more sheer and is a button up with lighter blue coloring,train
B00A7Y7L7Y,B00AIURY9W,FashionIQ,toptee,is black and white and is sleeveless zebra print,train
B00B8R8S76,B00935OEGO,FashionIQ,toptee,doesn t have buttons and has sleeves and has long sleeves and is brown,train
B00B2JI5GO,B0058ZZBH4,FashionIQ,toptee,is a black earring and is a black piece of jewelry,train
B008GOS310,B004OD90EQ,FashionIQ,toptee,blue strappy with lace on bodice and waist and has no sleeves,train
B001PKV53A,B0071QI8LE,FashionIQ,toptee,is more boldly colored and is a purse and orange,train
B00BY7LUSO,B007YHYD28,FashionIQ,toptee,is darker in color and has shorter sleeves and is black with regular show on it,train
B0081LLX06,B005FMVP2A,FashionIQ,toptee,is red with rainbows and is red with a pony graphic,train
B00823I5E0,B006K2ALM4,FashionIQ,toptee,has a collar and is neon bright and is yellow and has a zipper,train
B009B1H72I,B00EFJ8UF4,FashionIQ,toptee,gas a darker color and is a shiny one color tank top,train
B00D0JOB2Q,B00D0JU12A,FashionIQ,toptee,is purple and is purple and less revealing,train
B00E98Y424,B00APTYMHI,FashionIQ,toptee,has shorter sleeves and is black and shiny,train
B008X04EFQ,B0094DBTCC,FashionIQ,toptee,has more colorful stripes and has striped colors in blue and red,train
B00FTWNDCG,B00D82TMH4,FashionIQ,toptee,is striped and more revealing and is grey and has off shoulder,train
B005HPTTQE,B00DYVUZDE,FashionIQ,toptee,is a lighter blue shade and is very similar with darker print,train
B0052WOJKI,B001N9RUNM,FashionIQ,toptee,is lighter in color with a belt and is a white button up with frills,train
B00CJPZDYM,B00CE47BJ8,FashionIQ,toptee,the shirt is a black crop top and is shorter with a lower neckline,train
B007WOL8P8,B006YB6W74,FashionIQ,toptee,is black with rhinestones and cold shoulder and is darker,train
B002LBZLSM,B004ZH9WLW,FashionIQ,toptee,it is a brown hat with a print and is brown with cartoon logo,train
B00C6NQIXW,B007QZY31Y,FashionIQ,toptee,is dark blue and higher contrast colors and dark blue,train
B008RSRZ9G,B002LC4MGS,FashionIQ,toptee,is lighter in color and is more shiny and has shorter sleeves,train
B008821506,B009VLPXZ6,FashionIQ,toptee,is a pair of furry headphones and fuzzy blown kintted ear muffs,train
B007J7J4B8,B009ESDWCM,FashionIQ,toptee,is black with white designs and is black and has a bit more logo,train
B001PIPPGU,B003O9Y4YW,FashionIQ,toptee,is more nerdy and is less colorful and more nerdy,train
B00BQ7E6OC,B00BRP1W1I,FashionIQ,toptee,sleeveless and more fitted and is multiple types of blues and longer sleeves,train
B000PNBKCO,B00445YTA4,FashionIQ,toptee,has a graphic and is more fitted and is black and has more print,train
B00561PT9K,B007TYZFOQ,FashionIQ,toptee,is darker and has longer sleeves and is darker and has longer sleeves,train
B000ZZXSBS,B0050ZS5RU,FashionIQ,toptee,is gray with people design s and sleeveless with graphics or print,train
B0085ON2IU,B00C1N326I,FashionIQ,toptee,the tank top is white with a skull and is lighter,train
B00C3OUT0M,B00C7FAESY,FashionIQ,toptee,is lighter and plainer and is white and more revealing,train
B00596S4VM,B00140AM7Q,FashionIQ,toptee,the long sleeved shirt is a multitude of colors and is more white,train
B00C0GEWEM,B004CAG4N6,FashionIQ,toptee,is darker and has longer sleeves and is black with longer sleeves,train
B004Z2OF14,B004E0ZEB2,FashionIQ,toptee,is red and yellow and is more meant for summer,train
B007XT2ZMC,B00C5H9G7Y,FashionIQ,toptee,has no sleeves and has no sleeves,train
B008HTC74I,B008P3AM7K,FashionIQ,toptee,has long complete sleeves and is longer,train
B00D1S9M3E,B00EH4EDPS,FashionIQ,toptee,is more frilly and plain and sold black with bold lapel,train
B00CQ9J0MC,B0089XS3JU,FashionIQ,toptee,longer sleeves and has stripes and is a black sailor style shirt with short sleeves,train
B0032CO7IO,B003IRMJYW,FashionIQ,toptee,has lettering and is less leathery and is a gray short sleeved tshirt,train
B00FW6EUQ2,B00FE2B16Q,FashionIQ,toptee,has gathered sleeves and smoother fabric and is more of a tan color,train
B002ATQOKY,B001TQXU4M,FashionIQ,toptee,is a gray shirt with a picture of obama and is grey with black image,train
B007WAU2OK,B005QA9HYO,FashionIQ,toptee,is white and is made of a lighter and is more see through,train
B008NDVDK2,B005GPM7BO,FashionIQ,toptee,is solid colored and less fitting and has a plain green color,train
B0047LCAL0,B0047LE77U,FashionIQ,toptee,lighter color and is white in color,train
B00730RKO4,B00730PA1E,FashionIQ,toptee,is light blue with black words and is lighter,train
B002AH1PSC,B002AGZLK6,FashionIQ,toptee,has a different emblem and is blue and with no graphic,train
B009MJJR0Y,B0096MHVWS,FashionIQ,toptee,is a darker scheme and is long sleeved with a pattern and buttons down,train
B008MB2PT8,B00COMTDPK,FashionIQ,toptee,is green colored bowtie and is a green bow,train
B007C3NZX2,B006DTJZUI,FashionIQ,toptee,the long sleeve shirt is blue and black in color and is darker blue in color with prints,train
B00CRLKPXW,B00BWTWUQK,FashionIQ,toptee,has no sleeves and has no sleeves and has white lettering,train
B00EYKD2GG,B00F14MJ04,FashionIQ,toptee,a white shirt with short sleeves and has a pocket and lighter colors,train
B003CH79EI,B003CO205E,FashionIQ,toptee,is light blue and is light blue,train
B0058Q8PDK,B000VB0N3M,FashionIQ,toptee,is tan with black designs and is more colourfull,train
B002BRA9QU,B004SWJ75A,FashionIQ,toptee,is plaid button up with long sleeves and has collar and it is more checked and has collar with long sleeves,train
B008AOKM1U,B004IYNRH2,FashionIQ,toptee,is red and has one large heart for logo and is red with black image,train
B008SAGOWW,B008VFC5B8,FashionIQ,toptee,it has a red and white print on front and is less black and more print,train
B007TXXGLG,B007IWGP8Y,FashionIQ,toptee,is purple with long sleeves and is purple colored with long sleeves,train
B00DCKUF3M,B00DF2751M,FashionIQ,toptee,is sleeveless and multicolored and is cooler but has less fun,train
B000ID0CI4,B008SBH092,FashionIQ,toptee,is pink in color and has sleeves and has rabbit graphic and is pullover tee,train
B009YSUZUY,B00ANGVENI,FashionIQ,toptee,a long sleeve light colored shirt with embellishments and is white colored with no collar and no buttons,train
B00BZS8RLU,B00BZS8OJ0,FashionIQ,toptee,is red with white designs and is bright orange with jeweled embroidery,train
B004X596YY,B001CTUL9I,FashionIQ,toptee,has shorter sleeves with lighter color and is white with shorter sleeves,train
B00DNUX15U,B00EPQNHLY,FashionIQ,toptee,is white colored and strapless and is less revealing and white,train
B0045EP3DG,B005902CH0,FashionIQ,toptee,is white with long sleeves and has longer sleeves and more casual,train
B008CFZN5C,B008X0FG0S,FashionIQ,toptee,plain with longer sleeves and is dark red colored and has longer sleeves,train
B000X1MC2U,B002CIZQES,FashionIQ,toptee,and has no sleeves,train
B000EP4RZ0,B000EP33OQ,FashionIQ,toptee,has a different dog on the decal and only need is a yorkie logo,train
B003IKOPD2,B004GGTRWG,FashionIQ,toptee,has a warmer color and is red in color,train
B0089XRWP6,B005WXZJEW,FashionIQ,toptee,the loose fitting shirt is black in color and is more feminine with pleats,train
B00DYVUIKY,B0073U3YCG,FashionIQ,toptee,is darker and is looser fitting,train
B00438D9QM,B004BR1XOK,FashionIQ,toptee,has black striped and shorter sleeves and is black and white stripes,train
B004JGIPKI,B002ODAP92,FashionIQ,toptee,the shirt is black with a white emblem and no sleeved,train
B006SF6028,B006SF627Q,FashionIQ,toptee,has elbow length sleeves and a scooped neckline and has no pocket and is more revealing,train
B00CRLKPXW,B008DEXCL4,FashionIQ,toptee,is more green and is green,train
B00DCUQA7M,B00CEK6K8A,FashionIQ,toptee,purple and gray with a heart and dagger and is in black and white,train
B00980K2GA,B009YJS95G,FashionIQ,toptee,has shorter sleeves and is solid pink and is a solid pink color,train
B00AU90416,B00CDZ5QPO,FashionIQ,toptee,the tank top is red and black and has a floral design and is darker,train
B00AU8BILC,B005B6U288,FashionIQ,toptee,the shirt is long sleeved and white with a pink flying heart and is pink with chest logo,train
B004XGA7ZA,B004MMXEMS,FashionIQ,toptee,is pink and has shorter sleeves and is pink with shorter sleeves and a graphic,train
B007XD50QQ,B008DSJU98,FashionIQ,toptee,has less print and shorter sleeves and has no sleeves,train
B00ATT85RC,B008JBNUT0,FashionIQ,toptee,has animal print in black and white and has a looser fit,train
B009N830XO,B008WZCD1E,FashionIQ,toptee,is red in color and longer sleeves and is darker and more colorful,train
B007QF2YPG,B0018YYZ3A,FashionIQ,toptee,is lighter and has shorter sleeves and has no sleeves and has a different graphic,train
B00E6J1FG4,B002U4NAQU,FashionIQ,toptee,has red logo and less revealing and is a red tee,train
B008ZBP58S,B005OCK7IO,FashionIQ,toptee,is more juvenile and less provocative and is red and short sleeved,train
B005DS6Y0Y,B002GBYDJ0,FashionIQ,toptee,is a top and is way more revealing and is more revealing around the shulders and top with deep straps,train
B009NZ4NUG,B00AIYN19K,FashionIQ,toptee,the shirt is maroon with a zig zag pattern and is rounded neck line and knitted,train
B0095RDYSY,B00E5PO0SY,FashionIQ,toptee,has shorter sleeves and is beige and is loose fitting,train
B007Z8THKY,B007WMQPYO,FashionIQ,toptee,has large white letters across the front and is darker and masculine,train
B00DNRB6CS,B005GSUOWA,FashionIQ,toptee,is orange with no sleeves and orange solid print scoop neck dress,train
B007R3PN5K,B00AHAQ8IG,FashionIQ,toptee,is black and has long sleeves and a rounder neckline,train
B00B9R55EE,B00AXYE8AQ,FashionIQ,toptee,is more plain and orange and is a red tee with short sleeves,train
B002U34KGK,B0077G80GG,FashionIQ,toptee,the shirt is white and black in color and has a black and white pattern and longer sleeves,train
B00AIIVM10,B00EUUPAG0,FashionIQ,toptee,has an animal print and less sleeves and it has animal print and comes with collar,train
B007W3UVFM,B00BULH3CG,FashionIQ,toptee,is white and has frills and is sleeveless and white,train
B00GAI68B6,B0060DNLXO,FashionIQ,toptee,the shawl has white and black stripes and is instead a black tee,train
B005PI6L1O,B0096VOUS2,FashionIQ,toptee,has a gray blue color with text and has a truck and horse saying,train
B00AKL9N4S,B007K4WXEK,FashionIQ,toptee,is pink and larger neck and has more purple and sleeves,train
B0070DX4GW,B00ADM51J0,FashionIQ,toptee,is white with a word and is black sleeves and white short sleeve,train
B00CRVKD7K,B00C7XFH10,FashionIQ,toptee,has no sleeves but a transparent art design and has a print and is sleeveless,train
B00BQMZ6SW,B00BQN21BG,FashionIQ,toptee,has longer sleeves and is green and has more patterns and more colors,train
B004IK9V94,B008BZ32XI,FashionIQ,toptee,is a cardigan and is more white and i need a blouse and sweater combo,train
B002VX4NXO,B005P7WRE0,FashionIQ,toptee,is black with gray designs and is a black tshirt with a skull on it,train
B004M5I6S2,B003UYT6IA,FashionIQ,toptee,is purple with longer sleeves and is lighter,train
B008KFF9HG,B00AHAQ6WY,FashionIQ,toptee,is less sheer and less revealing and it has collar and more colorful,train
B009YJTFFY,B0070TKJ32,FashionIQ,toptee,has a denser pattern and is sleeker and has shorter sleeves and is cinched at the waist,train
B00AUACFBC,B008ADEHRQ,FashionIQ,toptee,has lighter colors and has bright teal color to it,train
B005MANQ22,B0097QWZV0,FashionIQ,toptee,is darker and is black and smoother fitting,train
B0093ANA32,B0093ATAYK,FashionIQ,toptee,has no sleeves and v neck and has a v nck and is more sophisticated,train
B00716OROQ,B00AMGH9HE,FashionIQ,toptee,the peasant shirt is white with ruffling and is same coloured with no belt,train
B00ANRRSC8,B00ANRRXXM,FashionIQ,toptee,has a white collar and has a white collar,train
B005TKICS8,B003PDNCY0,FashionIQ,toptee,is green with long sleeves and solid green long sleeve blouse,train
B004JQOLEC,B007M84XTM,FashionIQ,toptee,is blue striped and has horizontal stripes,train
B00462QTUS,B00352KGB8,FashionIQ,toptee,is lighter and is white and has large neck color,train
B001F6HIGW,B00AF6BG3E,FashionIQ,toptee,is more feminine and organge and orange with light blue outline,train
B00AWVOXRI,B00BT0J6IC,FashionIQ,toptee,is patterned and is longer and less plain,train
B007ZN3YKI,B00CD212AK,FashionIQ,toptee,is a white sleeveless top with embroidered v neck and has shorter sleeves,train
B008TARO0W,B00CQKVFFG,FashionIQ,toptee,has less dots and is darker in color,train
B00ANJL6TW,B00771EVUK,FashionIQ,toptee,is more stylish and desired item is white with long sleeves and ruffle neck,train
B00DYXY6QE,B004B54484,FashionIQ,toptee,is darker and is dark grey and has grey button,train
B007OCIDBA,B0058Y7KSS,FashionIQ,toptee,is plus size and has long sleeves and is long sleve,train
B007IRN4EC,B00AX89ON8,FashionIQ,toptee,is gray with long sleeves and has longer sleeves and a higher neckline,train
B005OCK7IO,B009VGGJRC,FashionIQ,toptee,is black and has long sleeves and is darker and has longer sleeves,train
B006Q8OHGS,B009V0OO84,FashionIQ,toptee,has longer sleeves and an image and is darker brown with animals,train
B004R1IFEQ,B003BLY3T4,FashionIQ,toptee,is a black tshirt and is a solid crew neck with a printed graphic,train
B00AZP3DGS,B00AZOS9CM,FashionIQ,toptee,is darker and is grey and purple that is longer,train
B00BD2XFGK,B007GBW17Q,FashionIQ,toptee,is a gray colored dress shirt and is gray button down,train
B00DVFHY6E,B00BLZGHU0,FashionIQ,toptee,ia summery with a rose design and is light colored with a pattern,train
B007RKO5KW,B008HYSK1C,FashionIQ,toptee,navy and grey short sleeved top and has wider horizontal stripes,train
B004MW4YVI,B009S27TQE,FashionIQ,toptee,is darker and is darker in color,train
B007TWYMJC,B00AQAB42C,FashionIQ,toptee,is sleeveless and is black with no sleeves,train
B00AAMNYOW,B00AAMO1MQ,FashionIQ,toptee,the shirt is black with a dagger and has no skulls on it,train
B003ZTVGEW,B009G81CJK,FashionIQ,toptee,is green with yellow and blue designs and is green tank top,train
B00A13GLCM,B0040ZFWM2,FashionIQ,toptee,has lighter blue color and is lighter colored and shirty,train
B00EF487X4,B0067EWIK8,FashionIQ,toptee,is white colored with camel logo in orange and is a lighter color,train
B0038Q9G5S,B002PZHDTY,FashionIQ,toptee,has a round neck and has a plaid pattern,train
B005KKDHGY,B00EPC7LZ6,FashionIQ,toptee,is a dark loose top with pleated flounce bottom and is more ruched and darker,train
B0069PC6ZC,B005OQGD9C,FashionIQ,toptee,is solid white and is a white color,train
B0038KYK00,B000A3BWBS,FashionIQ,toptee,is more floral and buttons,train
B00935OEOQ,B0074PSDPI,FashionIQ,toptee,has smaller straps and is a tank top,train
B0086ZOO6C,B003GPZ5RO,FashionIQ,toptee,is lighter colored and less shiny and is light pink and is a dress,train
B00AYLJZ1A,B008L5UKHO,FashionIQ,toptee,is darker and has longer sleeves and is gray with portrait neck and three quarter dolman sleeves,train
B00DU7HSC8,B0077SGZO8,FashionIQ,toptee,the shirt is black with white lettering and is black with white logo,train
B005LC976U,B0081ZCHKM,FashionIQ,toptee,the shirt has short sleeves with blue writing and has longer sleeves,train
B00CCHVXP0,B00DWIXXGA,FashionIQ,toptee,has sleeves and is a brighter color and white tee shirt with a scary face,train
B003QCG2NS,B00417QZSE,FashionIQ,toptee,has black shiny leather and is worn on food and is black,train
B008SAWUAM,B001NVNMFU,FashionIQ,toptee,is pink with mini prints and is link and has a bigger collar,train
B005LJU0XM,B00F0FZFBY,FashionIQ,toptee,the shirt is black in color with a colorful design and is soft black colored,train
B0089XS3JU,B005U341UM,FashionIQ,toptee,is long sleeved with buttons and is longer sleeved and gray,train
B001TEOWXW,B00BAXTKQG,FashionIQ,toptee,has white designs only and has woman s face and bold lettering,train
B005I0JVXE,B003N64BX0,FashionIQ,toptee,has shorter sleeves and is black and sleeveless,train
B002UJOF1Y,B00DU6OUES,FashionIQ,toptee,is more revealing and is underwear,train
B005I0JVO8,B008A6B77G,FashionIQ,toptee,the shirt is plum and white and has white sleeves,train
B00823I5E0,B002DMKG52,FashionIQ,toptee,the shirt is gray in color with black writing and is light color and has black letters,train
B007OCIDBA,B00BWIRMZ0,FashionIQ,toptee,is more ruffled and is bunched at the waist,train
B008941Q7A,B009TLRI1U,FashionIQ,toptee,is less shiny and has buttons in front,train
B00DHDYJ22,B006LX3LRO,FashionIQ,toptee,has a short sleeve black color and has longer sleeves and is darker,train
B00E0KYN86,B00E1JPW0E,FashionIQ,toptee,is red and white colored and is pink,train
B00BWCPGTK,B00CT3ABM8,FashionIQ,toptee,is more flowing and chevron and is black and white,train
B00EIQR29E,B000VVP1XO,FashionIQ,toptee,has more color and is bigger and loose fitting with 3 4 length sleeves,train
B006L1F72I,B003UYT6EE,FashionIQ,toptee,then shirt has long sleeves and is white in color and is white with a round neck,train
B00FN40ZC6,B00DXPWG9W,FashionIQ,toptee,white undershirt light blue bolero cut jacket and white short sleeve with blue half sweater,train
B000ENHNC6,B00AHYNBBE,FashionIQ,toptee,is darker and is solid black with white logo,train
B0096IXI8I,B00A2X3VCO,FashionIQ,toptee,the tank top is black in color and is less black and has no sleeve,train
B005IMGWD4,B009GLZTJ6,FashionIQ,toptee,is red colored with longer sleeves and red long sleeve t shirt with graphics,train
B005FEIN1Y,B002KHN1HK,FashionIQ,toptee,scouped neck loose turquorse tshirt and has dark red and grey pattern on it,train
